Name,Temperature,Humidity
June-14-2023T20-49-06,30.778,65.937
June-14-2023T20-52-45,30.778,66.113
June-14-2023T20-56-23,30.724,66.143
June-14-2023T21-00-02,30.713,66.288
June-14-2023T21-03-41,30.724,66.052
June-14-2023T21-07-19,30.703,66.143
June-14-2023T21-10-58,30.638,66.38
June-14-2023T21-14-36,30.638,66.433
June-14-2023T21-18-15,30.628,66.525
June-14-2023T21-21-53,30.617,66.463
June-14-2023T21-25-32,30.585,66.525
June-14-2023T21-29-10,30.542,66.669
June-14-2023T21-32-49,30.499,66.868
June-14-2023T21-36-28,30.477,66.868
June-14-2023T21-40-06,30.402,66.921
June-14-2023T21-43-45,30.37,66.975
June-14-2023T21-47-23,30.306,67.219
June-14-2023T21-51-02,30.242,67.44
June-14-2023T21-54-40,30.231,67.44
June-14-2023T21-58-19,30.166,67.631
June-14-2023T22-01-57,30.102,67.883
June-14-2023T22-05-36,30.07,68.02
June-14-2023T22-09-14,30.07,67.715
June-14-2023T22-12-53,29.984,68.203
June-14-2023T22-16-32,29.909,68.401
June-14-2023T22-20-10,29.855,68.638
June-14-2023T22-23-49,29.78,68.775
June-14-2023T22-27-27,29.716,68.996
June-14-2023T22-31-06,29.662,69.019
June-14-2023T22-34-44,29.609,69.378
June-14-2023T22-38-23,29.566,69.492
June-14-2023T22-42-01,29.405,70.011
June-14-2023T22-45-40,29.287,70.385
June-14-2023T22-49-18,29.201,70.606
June-14-2023T22-52-57,29.094,71.011
June-14-2023T22-56-36,29.04,71.171
June-14-2023T23-00-14,29.008,71.224
June-14-2023T23-03-53,28.944,71.278
June-14-2023T23-07-31,28.858,71.69
June-14-2023T23-11-10,28.794,71.743
June-14-2023T23-14-48,28.74,71.85
June-14-2023T23-18-27,28.643,72.109
June-14-2023T23-22-05,28.547,72.361
June-14-2023T23-25-44,28.44,72.765
June-14-2023T23-29-23,28.365,73.01
June-14-2023T23-33-01,28.322,73.109
June-14-2023T23-36-40,28.29,73.055
June-14-2023T23-40-18,28.236,73.33
June-14-2023T23-43-57,28.204,73.467
June-14-2023T23-47-35,28.182,73.498
June-14-2023T23-51-14,28.064,73.925
June-14-2023T23-54-52,27.989,74.162
June-14-2023T23-58-31,27.936,74.215
June-15-2023T00-02-09,27.839,74.406
June-15-2023T00-05-48,27.796,74.619
June-15-2023T00-09-27,27.764,74.726
June-15-2023T00-13-05,27.71,74.917
June-15-2023T00-16-44,27.71,74.917
June-15-2023T00-20-22,27.7,74.863
June-15-2023T00-24-01,27.667,74.963
June-15-2023T00-27-39,27.625,75.1
June-15-2023T00-31-18,27.603,75.153
June-15-2023T00-34-56,27.571,75.1
June-15-2023T00-38-35,27.528,75.268
June-15-2023T00-42-13,27.464,75.619
June-15-2023T00-45-52,27.399,75.718
June-15-2023T00-49-31,27.367,75.832
June-15-2023T00-53-09,27.303,75.848
June-15-2023T00-56-48,27.249,76.038
June-15-2023T01-00-26,27.238,76.061
June-15-2023T01-04-05,27.217,76.145
June-15-2023T01-07-43,27.185,76.26
June-15-2023T01-11-22,27.185,76.199
June-15-2023T01-15-00,27.163,76.26
June-15-2023T01-18-39,27.11,76.382
June-15-2023T01-22-17,27.078,76.466
June-15-2023T01-25-56,27.024,76.71
June-15-2023T01-29-34,26.949,76.939
June-15-2023T01-33-13,26.949,76.809
June-15-2023T01-36-53,26.874,77.0
June-15-2023T01-40-31,26.874,76.969
June-15-2023T01-44-10,26.82,77.106
June-15-2023T01-47-48,26.756,77.396
June-15-2023T01-51-27,26.799,77.145
June-15-2023T01-55-05,26.809,77.16
June-15-2023T01-58-44,26.767,77.282
June-15-2023T02-02-22,26.777,77.366
June-15-2023T02-06-01,26.767,77.366
June-15-2023T02-09-39,26.777,77.229
June-15-2023T02-13-18,26.809,77.16
June-15-2023T02-16-57,26.831,77.076
June-15-2023T02-20-35,26.885,76.916
June-15-2023T02-24-14,26.927,76.832
June-15-2023T02-27-52,26.949,76.695
June-15-2023T02-31-31,26.97,76.725
June-15-2023T02-35-09,27.003,76.572
June-15-2023T02-38-48,27.035,76.466
June-15-2023T02-42-26,27.003,76.618
June-15-2023T02-46-05,26.917,76.939
June-15-2023T02-49-43,26.885,77.16
June-15-2023T02-53-22,26.863,77.351
June-15-2023T02-57-01,26.831,77.488
June-15-2023T03-00-39,26.809,77.541
June-15-2023T03-04-18,26.788,77.641
June-15-2023T03-07-56,26.767,77.801
June-15-2023T03-11-35,26.681,78.075
June-15-2023T03-15-13,26.595,78.442
June-15-2023T03-18-52,26.563,78.609
June-15-2023T03-22-30,26.563,78.693
June-15-2023T03-26-09,26.52,78.884
June-15-2023T03-29-48,26.509,79.044
June-15-2023T03-33-26,26.509,79.021
June-15-2023T03-37-05,26.52,78.938
June-15-2023T03-40-43,26.52,79.021
June-15-2023T03-44-22,26.595,78.8
June-15-2023T03-48-00,26.659,78.556
June-15-2023T03-51-39,26.734,78.327
June-15-2023T03-55-17,26.799,78.243
June-15-2023T03-58-56,26.82,78.175
June-15-2023T04-02-34,26.82,78.175
June-15-2023T04-06-13,26.831,78.144
June-15-2023T04-09-52,26.874,78.091
