,pc1,pc2,pc3,hum,temp,target
0,3.12246257866293,7.068870445417775,5.120490446225761,39.181,42.768,104250.0
1,0.9152595103933853,5.620974282085373,2.7459780099801807,36.617,43.948,103897.0
2,2.02850779762188,3.7436149136540506,4.266350519634053,37.487,43.551,103535.0
3,2.147432596076288,4.12681220165092,4.431563490073051,37.647,44.506,103176.0
4,2.537179070047053,3.942583849489189,4.412147825235283,36.625,45.739,102812.0
5,2.7381759643942027,3.954245443479325,4.69026137889783,33.573,47.82,102448.0
6,2.8071625043729367,3.8194201024344547,4.874514759269417,31.673,49.922,102083.0
7,2.9830917124170444,3.97434349096391,5.111372517462991,31.376,50.641,101697.0
8,2.915360934018496,3.7897983786786926,5.126414402578771,30.346,51.338,101313.0
9,2.7858535886399727,3.8957361180767607,5.098966181929033,32.986,49.139,100925.0
10,2.8723450835274136,3.984357022719115,5.252617032347569,32.604,49.536,100540.0
11,8.542730495111993,-2.6901905723952613,-0.6022211696414411,31.475,50.855,100151.0
12,8.274721084617,-2.7093869273187536,-0.7350276108059624,30.483,49.976,99763.0
13,8.044649511212333,-2.598796354620362,-0.7439038540548821,30.712,48.892,99373.0
14,7.972407427732406,-2.544255645390772,-0.8257111892516682,31.582,47.895,98983.0
15,8.038894055444612,-2.7658852588770055,-0.945819141314459,31.734,48.603,98594.0
16,7.640858560702299,-2.091697381511838,-0.09893082273022702,32.269,49.032,98202.0
17,8.170120017364095,-2.594004439615674,-0.41765917867257357,31.078,49.236,97813.0
18,8.141828882163884,-2.6230773224778545,-0.45778134732958875,31.055,51.295,97420.0
19,8.148996680444148,-2.7417747019530645,-0.5510232774280677,28.69,53.644,97028.0
20,8.05455379285391,-2.8511122391723065,-0.7623644631054328,28.606,53.654,96638.0
21,8.10671419807729,-2.8050445286116497,-0.6973179497909557,28.858,54.083,96244.0
22,8.050336356384257,-2.8925574389338227,-0.7703824842842166,28.027,54.77,95849.0
23,7.967090066772268,-2.9978459857097546,-0.8698920056879376,27.859,54.738,95459.0
24,7.9005897701978824,-2.9376069037614303,-1.0450517732297784,29.026,53.097,95064.0
25,7.439992276576068,-2.85939890146315,-1.3641649589224771,30.01,51.917,94671.0
26,7.082953330916978,-2.8614735230688524,-1.349485920210388,32.703,49.75,94276.0
27,7.311833149808336,-2.809438273825776,-1.1626112836470126,31.124,50.716,93880.0
28,7.123354520107947,-2.7583241502088303,-1.0997903422026272,32.444,49.118,93485.0
29,7.01928661892373,-2.800440852503595,-1.4047885765397,30.941,49.965,93092.0
30,7.845633531834773,-2.940529088577586,-0.9323127838278716,30.415,50.759,92695.0
31,7.504846386537569,-2.7155933214756085,-1.1926234628112673,32.284,47.369,92299.0
32,6.2099427929733455,-2.812894688748274,-1.988140626986424,35.0,45.546,91905.0
33,6.940775538741731,-3.043738721835275,-1.8745846013456573,36.297,44.592,91506.0
34,6.614310923325475,-2.454092934668702,-1.8883450655114582,38.83,42.801,91107.0
35,6.4772216209604005,-2.619751467934081,-1.5807783885636735,38.799,43.101,90712.0
