Image, TS, Inference, Score, Temperature, Humidity
clipped_image_June-15-2023T00-09-27.ppm, June-15-2023T00-09-27,0,0.875,27.764,74.726
clipped_image_June-15-2023T00-13-05.ppm, June-15-2023T00-13-05,0,0.8164,27.71,74.917
clipped_image_June-15-2023T00-16-44.ppm, June-15-2023T00-16-44,0,0.8281,27.71,74.917
clipped_image_June-15-2023T00-20-22.ppm, June-15-2023T00-20-22,0,0.8242,27.7,74.863
clipped_image_June-15-2023T00-24-01.ppm, June-15-2023T00-24-01,0,0.8281,27.667,74.963
clipped_image_June-15-2023T00-27-39.ppm, June-15-2023T00-27-39,0,0.8359,27.625,75.1
clipped_image_June-15-2023T00-31-18.ppm, June-15-2023T00-31-18,0,0.8515,27.603,75.153
clipped_image_June-15-2023T00-34-56.ppm, June-15-2023T00-34-56,0,0.8281,27.571,75.1
clipped_image_June-15-2023T00-38-35.ppm, June-15-2023T00-38-35,0,0.8125,27.528,75.268
clipped_image_June-15-2023T00-42-13.ppm, June-15-2023T00-42-13,0,0.832,27.464,75.619
clipped_image_June-15-2023T00-45-52.ppm, June-15-2023T00-45-52,0,0.914,27.399,75.718
clipped_image_June-15-2023T00-49-31.ppm, June-15-2023T00-49-31,0,0.8437,27.367,75.832
clipped_image_June-15-2023T00-53-09.ppm, June-15-2023T00-53-09,0,0.875,27.303,75.848
clipped_image_June-15-2023T00-56-48.ppm, June-15-2023T00-56-48,0,0.8984,27.249,76.038
clipped_image_June-15-2023T01-00-26.ppm, June-15-2023T01-00-26,0,0.8554,27.238,76.061
clipped_image_June-15-2023T01-04-05.ppm, June-15-2023T01-04-05,0,0.8398,27.217,76.145
clipped_image_June-15-2023T01-07-43.ppm, June-15-2023T01-07-43,0,0.8437,27.185,76.26
clipped_image_June-15-2023T01-11-22.ppm, June-15-2023T01-11-22,0,0.9257,27.185,76.199
clipped_image_June-15-2023T01-15-00.ppm, June-15-2023T01-15-00,0,0.9218,27.163,76.26
clipped_image_June-15-2023T01-18-39.ppm, June-15-2023T01-18-39,0,0.8359,27.11,76.382
clipped_image_June-15-2023T01-22-17.ppm, June-15-2023T01-22-17,0,0.875,27.078,76.466
clipped_image_June-15-2023T01-25-56.ppm, June-15-2023T01-25-56,0,0.8437,27.024,76.71
clipped_image_June-15-2023T01-29-34.ppm, June-15-2023T01-29-34,0,0.8242,26.949,76.939
clipped_image_June-15-2023T01-33-13.ppm, June-15-2023T01-33-13,0,0.8242,26.949,76.809
clipped_image_June-15-2023T01-36-53.ppm, June-15-2023T01-36-53,0,0.832,26.874,77
clipped_image_June-15-2023T01-40-31.ppm, June-15-2023T01-40-31,0,0.8515,26.874,76.969
clipped_image_June-15-2023T01-44-10.ppm, June-15-2023T01-44-10,0,0.8515,26.82,77.106
clipped_image_June-15-2023T01-47-48.ppm, June-15-2023T01-47-48,0,0.9296,26.756,77.396
clipped_image_June-15-2023T01-51-27.ppm, June-15-2023T01-51-27,0,0.8398,26.799,77.145
clipped_image_June-15-2023T01-55-05.ppm, June-15-2023T01-55-05,0,0.8515,26.809,77.16
clipped_image_June-15-2023T01-58-44.ppm, June-15-2023T01-58-44,0,0.8593,26.767,77.282
clipped_image_June-15-2023T02-02-22.ppm, June-15-2023T02-02-22,0,0.875,26.777,77.366
clipped_image_June-15-2023T02-06-01.ppm, June-15-2023T02-06-01,0,0.8242,26.767,77.366
clipped_image_June-15-2023T02-09-39.ppm, June-15-2023T02-09-39,0,0.8515,26.777,77.229
clipped_image_June-15-2023T02-13-18.ppm, June-15-2023T02-13-18,0,0.8437,26.809,77.16
clipped_image_June-15-2023T02-16-57.ppm, June-15-2023T02-16-57,0,0.832,26.831,77.076
clipped_image_June-15-2023T02-20-35.ppm, June-15-2023T02-20-35,0,0.8515,26.885,76.916
clipped_image_June-15-2023T02-24-14.ppm, June-15-2023T02-24-14,0,0.8476,26.927,76.832
clipped_image_June-15-2023T02-27-52.ppm, June-15-2023T02-27-52,0,0.8203,26.949,76.695
clipped_image_June-15-2023T02-31-31.ppm, June-15-2023T02-31-31,0,0.9257,26.97,76.725
clipped_image_June-15-2023T02-35-09.ppm, June-15-2023T02-35-09,0,0.8984,27.003,76.572
clipped_image_June-15-2023T02-38-48.ppm, June-15-2023T02-38-48,0,0.9218,27.035,76.466
clipped_image_June-15-2023T02-42-26.ppm, June-15-2023T02-42-26,0,0.8671,27.003,76.618
clipped_image_June-15-2023T02-46-05.ppm, June-15-2023T02-46-05,0,0.8515,26.917,76.939
clipped_image_June-15-2023T02-49-43.ppm, June-15-2023T02-49-43,0,0.8203,26.885,77.16
clipped_image_June-15-2023T02-53-22.ppm, June-15-2023T02-53-22,0,0.8242,26.863,77.351
clipped_image_June-15-2023T02-57-01.ppm, June-15-2023T02-57-01,0,0.8632,26.831,77.488
clipped_image_June-15-2023T03-00-39.ppm, June-15-2023T03-00-39,0,0.8632,26.809,77.541
clipped_image_June-15-2023T03-04-18.ppm, June-15-2023T03-04-18,0,0.8593,26.788,77.641
clipped_image_June-15-2023T03-07-56.ppm, June-15-2023T03-07-56,0,0.8437,26.767,77.801
clipped_image_June-15-2023T03-11-35.ppm, June-15-2023T03-11-35,0,0.8554,26.681,78.075
clipped_image_June-15-2023T03-15-13.ppm, June-15-2023T03-15-13,0,0.8203,26.595,78.442
clipped_image_June-15-2023T03-18-52.ppm, June-15-2023T03-18-52,0,0.9101,26.563,78.609
clipped_image_June-15-2023T03-22-30.ppm, June-15-2023T03-22-30,0,0.8242,26.563,78.693
clipped_image_June-15-2023T03-26-09.ppm, June-15-2023T03-26-09,0,0.8125,26.52,78.884
clipped_image_June-15-2023T03-29-48.ppm, June-15-2023T03-29-48,0,0.8437,26.509,79.044
clipped_image_June-15-2023T03-33-26.ppm, June-15-2023T03-33-26,0,0.8632,26.509,79.021
clipped_image_June-15-2023T03-37-05.ppm, June-15-2023T03-37-05,0,0.871,26.52,78.938
clipped_image_June-15-2023T03-40-43.ppm, June-15-2023T03-40-43,0,0.8671,26.52,79.021
clipped_image_June-15-2023T03-44-22.ppm, June-15-2023T03-44-22,0,0.8554,26.595,78.8
clipped_image_June-15-2023T03-48-00.ppm, June-15-2023T03-48-00,0,0.8359,26.659,78.556
clipped_image_June-15-2023T03-51-39.ppm, June-15-2023T03-51-39,0,0.871,26.734,78.327
clipped_image_June-15-2023T03-55-17.ppm, June-15-2023T03-55-17,0,0.8671,26.799,78.243
clipped_image_June-15-2023T03-58-56.ppm, June-15-2023T03-58-56,0,0.8437,26.82,78.175
clipped_image_June-15-2023T04-02-34.ppm, June-15-2023T04-02-34,0,0.871,26.82,78.175
clipped_image_June-15-2023T04-06-13.ppm, June-15-2023T04-06-13,0,0.8515,26.831,78.144
clipped_image_June-15-2023T04-09-52.ppm, June-15-2023T04-09-52,0,0.8515,26.874,78.091
clipped_image_June-15-2023T04-13-30.ppm, June-15-2023T04-13-30,0,0.8437,26.852,78.228
clipped_image_June-15-2023T04-17-09.ppm, June-15-2023T04-17-09,0,0.8828,26.831,78.259
clipped_image_June-15-2023T04-20-49.ppm, June-15-2023T04-20-49,0,0.8515,26.777,78.541
clipped_image_June-15-2023T04-24-27.ppm, June-15-2023T04-24-27,0,0.8593,26.745,78.648
clipped_image_June-15-2023T04-28-06.ppm, June-15-2023T04-28-06,0,0.8515,26.702,78.869
clipped_image_June-15-2023T04-31-44.ppm, June-15-2023T04-31-44,0,0.832,26.638,79.128
clipped_image_June-15-2023T04-35-23.ppm, June-15-2023T04-35-23,0,0.8437,26.584,79.456
clipped_image_June-15-2023T04-39-01.ppm, June-15-2023T04-39-01,0,0.8984,26.552,79.678
clipped_image_June-15-2023T04-42-40.ppm, June-15-2023T04-42-40,0,0.8867,26.466,79.906
clipped_image_June-15-2023T04-46-18.ppm, June-15-2023T04-46-18,0,0.8789,26.402,80.151
clipped_image_June-15-2023T04-49-57.ppm, June-15-2023T04-49-57,0,0.8437,26.37,80.311
clipped_image_June-15-2023T04-53-36.ppm, June-15-2023T04-53-36,0,0.8125,26.305,80.54
clipped_image_June-15-2023T04-57-14.ppm, June-15-2023T04-57-14,0,0.8398,26.295,80.57
clipped_image_June-15-2023T05-00-53.ppm, June-15-2023T05-00-53,0,0.8789,26.295,80.647
clipped_image_June-15-2023T05-04-31.ppm, June-15-2023T05-04-31,0,0.8164,26.327,80.555
clipped_image_June-15-2023T05-08-10.ppm, June-15-2023T05-08-10,0,0.8203,26.338,80.471
clipped_image_June-15-2023T05-11-48.ppm, June-15-2023T05-11-48,0,0.8281,26.38,80.28
clipped_image_June-15-2023T05-15-27.ppm, June-15-2023T05-15-27,0,0.8281,26.423,80.067
clipped_image_June-15-2023T05-19-05.ppm, June-15-2023T05-19-05,0,0.8203,26.466,79.853
clipped_image_June-15-2023T05-22-44.ppm, June-15-2023T05-22-44,0,0.8359,26.477,79.784
clipped_image_June-15-2023T05-26-23.ppm, June-15-2023T05-26-23,0,0.8242,26.466,79.891
clipped_image_June-15-2023T05-30-01.ppm, June-15-2023T05-30-01,0,0.8632,26.456,79.906
clipped_image_June-15-2023T05-33-40.ppm, June-15-2023T05-33-40,0,0.832,26.509,79.754
clipped_image_June-15-2023T05-37-18.ppm, June-15-2023T05-37-18,0,0.8671,26.531,79.617
clipped_image_June-15-2023T05-40-57.ppm, June-15-2023T05-40-57,0,0.914,26.52,79.647
clipped_image_June-15-2023T05-44-36.ppm, June-15-2023T05-44-36,0,0.8984,26.541,79.617
clipped_image_June-15-2023T05-48-16.ppm, June-15-2023T05-48-16,0,0.7031,26.552,79.594
clipped_image_June-15-2023T05-51-55.ppm, June-15-2023T05-51-55,1,0.8554,26.595,79.51
clipped_image_June-15-2023T05-55-34.ppm, June-15-2023T05-55-34,1,0.871,26.616,79.403
clipped_image_June-15-2023T05-59-14.ppm, June-15-2023T05-59-14,1,0.871,26.616,79.403
clipped_image_June-15-2023T06-02-53.ppm, June-15-2023T06-02-53,1,0.8515,26.681,79.121
clipped_image_June-15-2023T06-06-32.ppm, June-15-2023T06-06-32,1,0.7812,26.713,79.06
clipped_image_June-15-2023T06-10-12.ppm, June-15-2023T06-10-12,1,0.7148,26.734,78.983
clipped_image_June-15-2023T06-13-51.ppm, June-15-2023T06-13-51,1,0.6914,26.799,78.869
clipped_image_June-15-2023T06-17-30.ppm, June-15-2023T06-17-30,1,0.6796,26.874,78.64
clipped_image_June-15-2023T06-21-10.ppm, June-15-2023T06-21-10,1,0.7148,26.992,78.175
clipped_image_June-15-2023T06-24-49.ppm, June-15-2023T06-24-49,1,0.707,27.088,77.938
clipped_image_June-15-2023T06-28-28.ppm, June-15-2023T06-28-28,1,0.7109,27.228,77.404
clipped_image_June-15-2023T06-32-08.ppm, June-15-2023T06-32-08,1,0.6953,27.346,77.091
clipped_image_June-15-2023T06-35-47.ppm, June-15-2023T06-35-47,1,0.6875,27.517,76.496
clipped_image_June-15-2023T06-39-26.ppm, June-15-2023T06-39-26,1,0.7734,27.7,75.909
clipped_image_June-15-2023T06-43-06.ppm, June-15-2023T06-43-06,1,0.7929,27.882,75.42
clipped_image_June-15-2023T06-46-45.ppm, June-15-2023T06-46-45,1,0.789,28.043,74.97
clipped_image_June-15-2023T06-50-25.ppm, June-15-2023T06-50-25,1,0.7929,28.247,74.322
clipped_image_June-15-2023T06-54-04.ppm, June-15-2023T06-54-04,1,0.7734,28.472,73.589
clipped_image_June-15-2023T06-57-44.ppm, June-15-2023T06-57-44,1,0.7656,28.772,72.651
clipped_image_June-15-2023T07-01-23.ppm, June-15-2023T07-01-23,1,0.7656,29.137,71.507
clipped_image_June-15-2023T07-05-03.ppm, June-15-2023T07-05-03,1,0.7421,29.48,70.507
clipped_image_June-15-2023T07-08-42.ppm, June-15-2023T07-08-42,1,0.7578,29.78,69.553
clipped_image_June-15-2023T07-12-21.ppm, June-15-2023T07-12-21,1,0.7734,30.059,68.737
clipped_image_June-15-2023T07-16-01.ppm, June-15-2023T07-16-01,1,0.7812,30.306,67.966
clipped_image_June-15-2023T07-19-40.ppm, June-15-2023T07-19-40,1,0.8085,30.671,66.761
clipped_image_June-15-2023T07-23-19.ppm, June-15-2023T07-23-19,1,0.7812,31.014,65.792
clipped_image_June-15-2023T07-26-59.ppm, June-15-2023T07-26-59,1,0.7343,31.507,64.297
clipped_image_June-15-2023T07-30-38.ppm, June-15-2023T07-30-38,1,0.7265,32.14,62.42
clipped_image_June-15-2023T07-34-18.ppm, June-15-2023T07-34-18,1,0.6523,32.751,60.497
clipped_image_June-15-2023T07-37-57.ppm, June-15-2023T07-37-57,1,0.621,33.556,58.392
clipped_image_June-15-2023T07-41-36.ppm, June-15-2023T07-41-36,0,0.621,34.574,55.828
clipped_image_June-15-2023T07-45-16.ppm, June-15-2023T07-45-16,0,0.7265,35.422,53.791
clipped_image_June-15-2023T07-48-55.ppm, June-15-2023T07-48-55,0,0.7539,36.055,52.036
clipped_image_June-15-2023T07-52-34.ppm, June-15-2023T07-52-34,1,0.6484,36.248,51.548
clipped_image_June-15-2023T07-56-14.ppm, June-15-2023T07-56-14,0,0.7265,35.851,52.532
clipped_image_June-15-2023T07-59-54.ppm, June-15-2023T07-59-54,0,0.7617,36.73,50.495
clipped_image_June-15-2023T08-03-34.ppm, June-15-2023T08-03-34,0,0.7695,37.438,48.847
clipped_image_June-15-2023T08-07-13.ppm, June-15-2023T08-07-13,0,0.7773,38.21,47.184
clipped_image_June-15-2023T08-10-52.ppm, June-15-2023T08-10-52,0,0.7695,38.832,46.009
clipped_image_June-15-2023T08-14-32.ppm, June-15-2023T08-14-32,0,0.7773,39.369,44.865
clipped_image_June-15-2023T08-18-11.ppm, June-15-2023T08-18-11,0,0.707,40.162,43.453
clipped_image_June-15-2023T08-21-51.ppm, June-15-2023T08-21-51,0,0.7265,40.034,43.674
clipped_image_June-15-2023T08-25-30.ppm, June-15-2023T08-25-30,0,0.7617,40.666,42.69
clipped_image_June-15-2023T08-29-09.ppm, June-15-2023T08-29-09,0,0.6757,41.245,41.752
clipped_image_June-15-2023T08-32-49.ppm, June-15-2023T08-32-49,0,0.6328,41.16,41.904
clipped_image_June-15-2023T08-36-28.ppm, June-15-2023T08-36-28,0,0.5898,41.16,41.935
clipped_image_June-15-2023T08-40-08.ppm, June-15-2023T08-40-08,0,0.6679,41.857,40.966
clipped_image_June-15-2023T08-43-47.ppm, June-15-2023T08-43-47,1,0.5195,42.039,40.882
clipped_image_June-15-2023T08-47-26.ppm, June-15-2023T08-47-26,1,0.6406,40.859,42.82
clipped_image_June-15-2023T08-51-06.ppm, June-15-2023T08-51-06,1,0.6875,39.562,45.17
clipped_image_June-15-2023T08-54-45.ppm, June-15-2023T08-54-45,0,0.5546,39.229,45.979
clipped_image_June-15-2023T08-58-25.ppm, June-15-2023T08-58-25,0,0.5078,40.58,43.636
clipped_image_June-15-2023T09-02-05.ppm, June-15-2023T09-02-05,0,0.6562,41.91,41.485
clipped_image_June-15-2023T09-05-44.ppm, June-15-2023T09-05-44,0,0.6445,42.919,39.898
clipped_image_June-15-2023T09-09-24.ppm, June-15-2023T09-09-24,0,0.6445,43.337,39.31
clipped_image_June-15-2023T09-13-03.ppm, June-15-2023T09-13-03,1,0.6289,43.219,39.547
clipped_image_June-15-2023T09-16-43.ppm, June-15-2023T09-16-43,1,0.6367,41.16,42.843
clipped_image_June-15-2023T09-20-22.ppm, June-15-2023T09-20-22,1,0.6484,40.559,43.949
clipped_image_June-15-2023T09-24-01.ppm, June-15-2023T09-24-01,1,0.5507,40.076,44.819
clipped_image_June-15-2023T09-27-41.ppm, June-15-2023T09-27-41,1,0.6367,39.422,46.009
clipped_image_June-15-2023T09-31-20.ppm, June-15-2023T09-31-20,0,0.5546,40.656,44.01
clipped_image_June-15-2023T09-35-00.ppm, June-15-2023T09-35-00,1,0.5625,42.543,40.867
clipped_image_June-15-2023T09-38-39.ppm, June-15-2023T09-38-39,0,0.5195,44.066,38.868
clipped_image_June-15-2023T09-42-18.ppm, June-15-2023T09-42-18,0,0.7617,45.085,37.647
clipped_image_June-15-2023T09-43-42.ppm, June-15-2023T09-43-42,0,0.6328,45.568,36.755
clipped_image_June-15-2023T09-47-21.ppm, June-15-2023T09-47-21,0,0.6523,44.924,37.388
clipped_image_June-15-2023T09-51-00.ppm, June-15-2023T09-51-00,0,0.5859,45.149,37.365
clipped_image_June-15-2023T09-54-39.ppm, June-15-2023T09-54-39,0,0.6054,46.115,36.06
clipped_image_June-15-2023T09-58-18.ppm, June-15-2023T09-58-18,0,0.7031,45.857,36.35
clipped_image_June-15-2023T10-01-58.ppm, June-15-2023T10-01-58,1,0.5898,47.144,34.748
clipped_image_June-15-2023T10-05-37.ppm, June-15-2023T10-05-37,0,0.7304,47.112,34.626
clipped_image_June-15-2023T10-09-16.ppm, June-15-2023T10-09-16,0,0.7304,48.324,33.161
clipped_image_June-15-2023T10-12-55.ppm, June-15-2023T10-12-55,0,0.7578,48.442,33.031
clipped_image_June-15-2023T10-16-34.ppm, June-15-2023T10-16-34,0,0.7812,48.828,32.665
clipped_image_June-15-2023T10-20-13.ppm, June-15-2023T10-20-13,0,0.789,49.182,32.07
clipped_image_June-15-2023T10-23-53.ppm, June-15-2023T10-23-53,0,0.7109,49.203,32.116
clipped_image_June-15-2023T10-27-32.ppm, June-15-2023T10-27-32,0,0.832,49.032,32.307
clipped_image_June-15-2023T10-31-11.ppm, June-15-2023T10-31-11,0,0.8242,49.976,31.277
clipped_image_June-15-2023T10-34-50.ppm, June-15-2023T10-34-50,0,0.8046,50.523,30.445
clipped_image_June-15-2023T10-38-29.ppm, June-15-2023T10-38-29,0,0.8437,50.619,30.193
clipped_image_June-15-2023T10-42-08.ppm, June-15-2023T10-42-08,0,0.8437,50.823,29.972
clipped_image_June-15-2023T10-45-48.ppm, June-15-2023T10-45-48,0,0.8476,51.252,29.583
clipped_image_June-15-2023T10-49-27.ppm, June-15-2023T10-49-27,1,0.6718,50.705,30.079
clipped_image_June-15-2023T10-53-06.ppm, June-15-2023T10-53-06,0,0.832,48.742,32.444
clipped_image_June-15-2023T10-56-45.ppm, June-15-2023T10-56-45,0,0.8046,48.742,32.566
clipped_image_June-15-2023T11-00-24.ppm, June-15-2023T11-00-24,0,0.8164,49.053,32.101
clipped_image_June-15-2023T11-04-03.ppm, June-15-2023T11-04-03,0,0.6484,50.115,30.911
clipped_image_June-15-2023T11-07-43.ppm, June-15-2023T11-07-43,1,0.6406,49.418,31.506
clipped_image_June-15-2023T11-11-22.ppm, June-15-2023T11-11-22,0,0.8281,48.131,33.1
clipped_image_June-15-2023T11-15-01.ppm, June-15-2023T11-15-01,0,0.8828,49.096,31.849
clipped_image_June-15-2023T11-18-41.ppm, June-15-2023T11-18-41,0,0.9101,49.686,30.956
clipped_image_June-15-2023T11-22-20.ppm, June-15-2023T11-22-20,0,0.9179,50.019,30.109
clipped_image_June-15-2023T11-25-59.ppm, June-15-2023T11-25-59,0,0.9375,50.705,29.415
clipped_image_June-15-2023T11-29-38.ppm, June-15-2023T11-29-38,0,0.9453,51.316,28.721
clipped_image_June-15-2023T11-33-17.ppm, June-15-2023T11-33-17,0,0.9453,51.777,28.164
clipped_image_June-15-2023T11-36-56.ppm, June-15-2023T11-36-56,0,0.9453,51.981,27.882
clipped_image_June-15-2023T11-40-36.ppm, June-15-2023T11-40-36,0,0.9414,51.992,27.813
clipped_image_June-15-2023T11-44-15.ppm, June-15-2023T11-44-15,0,0.957,51.895,27.76
clipped_image_June-15-2023T11-47-54.ppm, June-15-2023T11-47-54,0,0.9453,52.035,27.607
clipped_image_June-15-2023T11-51-33.ppm, June-15-2023T11-51-33,0,0.9492,52.324,27.424
clipped_image_June-15-2023T11-55-12.ppm, June-15-2023T11-55-12,0,0.9492,52.636,26.974
clipped_image_June-15-2023T11-58-51.ppm, June-15-2023T11-58-51,0,0.9375,52.796,26.691
clipped_image_June-15-2023T12-02-31.ppm, June-15-2023T12-02-31,0,0.9492,53.161,26.341
clipped_image_June-15-2023T12-06-10.ppm, June-15-2023T12-06-10,0,0.9414,53.429,26.119
clipped_image_June-15-2023T12-09-49.ppm, June-15-2023T12-09-49,0,0.9375,53.418,25.951
clipped_image_June-15-2023T12-13-28.ppm, June-15-2023T12-13-28,0,0.9296,53.225,25.982
clipped_image_June-15-2023T12-17-07.ppm, June-15-2023T12-17-07,0,0.9257,53.633,25.631
clipped_image_June-15-2023T12-20-46.ppm, June-15-2023T12-20-46,0,0.9101,54.201,25.089
clipped_image_June-15-2023T12-24-26.ppm, June-15-2023T12-24-26,0,0.9375,55.07,24.265
clipped_image_June-15-2023T12-28-06.ppm, June-15-2023T12-28-06,0,0.9414,55.563,23.8
clipped_image_June-15-2023T12-31-45.ppm, June-15-2023T12-31-45,0,0.9257,55.832,23.563
clipped_image_June-15-2023T12-35-24.ppm, June-15-2023T12-35-24,0,0.9296,55.982,23.403
clipped_image_June-15-2023T12-39-03.ppm, June-15-2023T12-39-03,0,0.914,56.132,23.159
clipped_image_June-15-2023T12-42-42.ppm, June-15-2023T12-42-42,0,0.9218,55.714,23.518
clipped_image_June-15-2023T12-46-21.ppm, June-15-2023T12-46-21,0,0.9335,54.577,24.441
clipped_image_June-15-2023T12-50-01.ppm, June-15-2023T12-50-01,0,0.9218,54.309,24.586
clipped_image_June-15-2023T12-53-40.ppm, June-15-2023T12-53-40,0,0.9335,54.877,24.082
clipped_image_June-15-2023T12-57-19.ppm, June-15-2023T12-57-19,0,0.9335,55.639,23.464
clipped_image_June-15-2023T13-00-58.ppm, June-15-2023T13-00-58,0,0.9375,55.263,23.647
clipped_image_June-15-2023T13-04-37.ppm, June-15-2023T13-04-37,0,0.9296,55.799,23.136
clipped_image_June-15-2023T13-08-16.ppm, June-15-2023T13-08-16,0,0.9335,56.1,22.823
clipped_image_June-15-2023T13-11-56.ppm, June-15-2023T13-11-56,0,0.9414,56.303,22.541
clipped_image_June-15-2023T13-15-35.ppm, June-15-2023T13-15-35,0,0.9296,56.379,22.381
clipped_image_June-15-2023T13-19-14.ppm, June-15-2023T13-19-14,0,0.8242,56.818,22.03
clipped_image_June-15-2023T13-22-53.ppm, June-15-2023T13-22-53,0,0.9023,56.572,22.228
clipped_image_June-15-2023T13-26-32.ppm, June-15-2023T13-26-32,0,0.9062,56.797,21.984
clipped_image_June-15-2023T13-30-11.ppm, June-15-2023T13-30-11,0,0.875,56.732,21.9
clipped_image_June-15-2023T13-33-51.ppm, June-15-2023T13-33-51,0,0.8515,56.893,21.656
clipped_image_June-15-2023T13-37-30.ppm, June-15-2023T13-37-30,0,0.8906,56.829,21.687
clipped_image_June-15-2023T13-41-09.ppm, June-15-2023T13-41-09,0,0.8593,56.786,21.565
clipped_image_June-15-2023T13-44-48.ppm, June-15-2023T13-44-48,0,0.8359,56.786,21.519
clipped_image_June-15-2023T13-48-27.ppm, June-15-2023T13-48-27,0,0.8398,56.561,21.679
clipped_image_June-15-2023T13-52-06.ppm, June-15-2023T13-52-06,0,0.8085,56.604,21.847
clipped_image_June-15-2023T13-55-46.ppm, June-15-2023T13-55-46,0,0.8007,56.539,22.083
clipped_image_June-15-2023T13-59-25.ppm, June-15-2023T13-59-25,0,0.8164,56.947,22.038
clipped_image_June-15-2023T14-03-04.ppm, June-15-2023T14-03-04,0,0.789,56.936,22.121
clipped_image_June-15-2023T14-06-43.ppm, June-15-2023T14-06-43,0,0.8046,57.762,21.755
clipped_image_June-15-2023T14-10-22.ppm, June-15-2023T14-10-22,0,0.8203,57.987,21.854
clipped_image_June-15-2023T14-14-01.ppm, June-15-2023T14-14-01,0,0.8164,58.234,22.076
clipped_image_June-15-2023T14-17-41.ppm, June-15-2023T14-17-41,0,0.8125,58.524,22.099
clipped_image_June-15-2023T14-21-20.ppm, June-15-2023T14-21-20,0,0.789,58.631,22.106
clipped_image_June-15-2023T14-24-59.ppm, June-15-2023T14-24-59,0,0.7812,58.041,22.656
clipped_image_June-15-2023T14-28-38.ppm, June-15-2023T14-28-38,0,0.7734,58.105,22.709
clipped_image_June-15-2023T14-32-17.ppm, June-15-2023T14-32-17,0,0.7656,58.298,22.511
clipped_image_June-15-2023T14-35-56.ppm, June-15-2023T14-35-56,0,0.7656,58.137,22.663
clipped_image_June-15-2023T14-39-36.ppm, June-15-2023T14-39-36,0,0.789,57.719,22.9
clipped_image_June-15-2023T14-43-15.ppm, June-15-2023T14-43-15,0,0.7226,57.526,22.747
clipped_image_June-15-2023T14-46-54.ppm, June-15-2023T14-46-54,0,0.7382,57.473,22.793
clipped_image_June-15-2023T14-50-33.ppm, June-15-2023T14-50-33,0,0.746,57.848,22.472
clipped_image_June-15-2023T14-54-12.ppm, June-15-2023T14-54-12,0,0.75,57.558,22.663
clipped_image_June-15-2023T14-57-51.ppm, June-15-2023T14-57-51,0,0.7382,56.84,23.083
clipped_image_June-15-2023T15-01-31.ppm, June-15-2023T15-01-31,0,0.7109,56.443,23.35
clipped_image_June-15-2023T15-05-10.ppm, June-15-2023T15-05-10,0,0.7304,56.239,23.548
clipped_image_June-15-2023T15-08-49.ppm, June-15-2023T15-08-49,0,0.7304,55.735,24.021
clipped_image_June-15-2023T15-12-28.ppm, June-15-2023T15-12-28,0,0.7578,56.11,23.67
clipped_image_June-15-2023T15-16-07.ppm, June-15-2023T15-16-07,0,0.7031,56.089,23.586
clipped_image_June-15-2023T15-19-46.ppm, June-15-2023T15-19-46,0,0.7226,55.971,23.655
clipped_image_June-15-2023T15-23-26.ppm, June-15-2023T15-23-26,0,0.6914,56.346,23.38
clipped_image_June-15-2023T15-27-05.ppm, June-15-2023T15-27-05,0,0.7148,56.379,23.228
clipped_image_June-15-2023T15-30-44.ppm, June-15-2023T15-30-44,0,0.7343,55.328,24.029
clipped_image_June-15-2023T15-34-23.ppm, June-15-2023T15-34-23,0,0.7343,54.587,24.693
clipped_image_June-15-2023T15-38-02.ppm, June-15-2023T15-38-02,0,0.7226,54.523,24.807
clipped_image_June-15-2023T15-41-41.ppm, June-15-2023T15-41-41,0,0.7226,54.695,24.708
clipped_image_June-15-2023T15-45-21.ppm, June-15-2023T15-45-21,0,0.6523,54.866,24.494
clipped_image_June-15-2023T15-49-00.ppm, June-15-2023T15-49-00,0,0.75,54.705,24.662
clipped_image_June-15-2023T15-52-39.ppm, June-15-2023T15-52-39,0,0.6718,54.148,25.036
clipped_image_June-15-2023T15-56-18.ppm, June-15-2023T15-56-18,0,0.7148,54.191,25.036
clipped_image_June-15-2023T15-59-57.ppm, June-15-2023T15-59-57,0,0.621,53.322,25.768
clipped_image_June-15-2023T16-03-36.ppm, June-15-2023T16-03-36,0,0.7148,52.871,26.165
clipped_image_June-15-2023T16-07-16.ppm, June-15-2023T16-07-16,0,0.6406,52.657,26.356
clipped_image_June-15-2023T16-10-55.ppm, June-15-2023T16-10-55,0,0.7226,52.518,26.47
clipped_image_June-15-2023T16-14-34.ppm, June-15-2023T16-14-34,0,0.6328,52.035,26.936
clipped_image_June-15-2023T16-18-13.ppm, June-15-2023T16-18-13,0,0.5078,52.013,26.936
clipped_image_June-15-2023T16-21-52.ppm, June-15-2023T16-21-52,0,0.5195,49.665,29.331
clipped_image_June-15-2023T16-25-31.ppm, June-15-2023T16-25-31,0,0.6445,49.182,29.827
clipped_image_June-15-2023T16-29-11.ppm, June-15-2023T16-29-11,0,0.6328,48.689,30.407
clipped_image_June-15-2023T16-32-50.ppm, June-15-2023T16-32-50,0,0.5117,48.517,30.598
clipped_image_June-15-2023T16-36-29.ppm, June-15-2023T16-36-29,1,0.5625,48.335,30.834
clipped_image_June-15-2023T16-40-08.ppm, June-15-2023T16-40-08,1,0.5312,48.045,31.178
clipped_image_June-15-2023T16-43-47.ppm, June-15-2023T16-43-47,1,0.6328,47.798,31.414
